rfc_id,discussion_title,discussion_result_comment_id,discussion_input_comment,project
69,RfC: Should the infobox use the original photograph of Cameron or a version modified by a Wikipedia editor?,2021,2022,wikipedia
70,RfC: Ministry of Defence housing sale,2061,2062,wikipedia
71,RfC on end of marriage,2070,2071,wikipedia
72,"RFC: Should the first sentence include the descriptor ""fraudster""?",2074,2075,wikipedia
73,Request for Comment on wording in lead and infobox,2081,2082,wikipedia
74,"RfC: ""Illegal aliens"" vs. a synonym",2092,2093,wikipedia
75,Request for Comment on Modern Taino Identity,2109,2110,wikipedia
76,RFC: should we include claims by Shamir that he was a paratrooper and worked for the BBC and Haaretz which originate from his personal website,2161,2162,wikipedia
77,Request for comment,2183,2184,wikipedia
78,RfC on Herbert Kersten,2194,2195,wikipedia
79,Request for Comment: Using well-established news outlets as references,2265,2266,wikipedia
80,RFC For addition of a serious injury or death warning,2286,2287,wikipedia
81,RfC Sex Differences in 5α-Reductase deficiency,2295,2296,wikipedia
82,Proposed improvement to infobox,2371,2372,wikipedia
83,Proposed improvement to infobox,2391,2392,wikipedia
84,RFC: [[Italian Social Movement]] political position,2411,2412,wikipedia
85,RFC on Battle of Vukovar,2465,2466,wikipedia
86,Request for Comment - Should the 'Best Place to Live in the U.S.' rankings be included?,2511,2512,wikipedia
87,RfC about references in the lead,2523,2524,wikipedia
88,RfC on capitalization of buildings,2526,2527,wikipedia
89,"RfC: Use of ""IBWM"" as an abbreviation for the International Bureau of Weights and Measures?",2594,2595,wikipedia
90,RfC: Body measurements,2610,2611,wikipedia
91,RfC on SENS controversy section,2622,2623,wikipedia
92,RfC about new infobox photo,2655,2656,wikipedia
93,RFC on ethnicity of Ahmed ibn Ibrahim al-Ghazi,2677,2678,wikipedia
94,RfC about whether this article should include Anglicanism under the Protestantism heading or as its own section,2698,2699,wikipedia
95,Downgrading POINT to an essay,2719,2720,wikipedia
96,Request For Comment about the service pattern table and extra content,2746,2747,wikipedia
97,Should we change <nowiki>[dubious – discuss]</nowiki> to <nowiki>[dubious? – discuss]</nowiki>,2760,2761,wikipedia
98,Request for Comment,2761,2762,wikipedia
99,RFC: Column name/position/content for binary computing units,2778,2779,wikipedia
100,RfC on main definition of the NAP,2859,2860,wikipedia
101,RfC on appropriate infobox image,2884,2885,wikipedia
102,RfC about the origin of the roti,2889,2890,wikipedia
103,Miguel or Miquel?,2897,2898,wikipedia
104,RFC SEP-29-2018,2905,2906,wikipedia
105,Proposed merge with [[Color Developing Agent 3]] and [[Color Developing Agent 4]],2917,2918,wikipedia
106,RfC on ethnicity,2932,2933,wikipedia
107,"RfC: Should ""rock and roll"" be linked in the infobox?",2942,2943,wikipedia
108,RFC,2964,2965,wikipedia
109,"RfC regarding the album description ""claimed to be""",2977,2978,wikipedia
110,RFC,2981,2982,wikipedia
111,"RfC about POV, unreliable sources and direct nexus content",3002,3003,wikipedia
112,RfC about heat of combustion being proportional to oxygen consumption,3022,3023,wikipedia
113,Bible Quote,3023,3024,wikipedia
114,RFC about listing singer in lead sentence,3057,3058,wikipedia
115,RfC on the nationality of Al-Biruni,3072,3073,wikipedia
116,RFC on lead section,3083,3084,wikipedia
117,RfC: Indian English or American?,3094,3095,wikipedia
118,Iran vs. Germany image RfC,3108,3109,wikipedia
119,Another RfC on whether succession boxes should appear in song and album articles,3148,3149,wikipedia
120,Another RfC on whether succession boxes should appear in song and album articles,3167,3168,wikipedia
121,Request for comment,3186,3187,wikipedia
122,RfC on including his daughter's deadname,3217,3218,wikipedia
123,Request for comment,3226,3227,wikipedia
124,Request for comment: merge proposal,3242,3243,wikipedia
125,Again that dinosaur thing in the lede...,3250,3251,wikipedia
126,RfC,3292,3293,wikipedia
127,RFC: Lead sentence,3306,3307,wikipedia
128,Infobox image RFC,3321,3322,wikipedia
129,Closed discussion,3349,3350,wikipedia
130,RfC about the use of Welsh,3356,3357,wikipedia
131,RfC: Globe and Mail infobox,3394,3395,wikipedia
132,RfC on discussion of the philosophy of sex in lead,3403,3404,wikipedia
133,RfC on Tom O'Carroll dispute,3413,3414,wikipedia
134,RfC on lead,3461,3462,wikipedia
135,RfC -- Course categories and professor names,3465,3466,wikipedia
136,RfC on UN DESA 2019 Eritrea population estimate,3486,3487,wikipedia
137,"RFC on page move to ""supraorganism""",3569,3570,wikipedia
138,RFC on Yuriko Sato citation,3581,3582,wikipedia
139,Rear vehicle RFC,3653,3654,wikipedia
140,Request for comment (RfC): Dec 2020 police harassment of Nazario,3664,3665,wikipedia
141,RfC: Rape allegation,3674,3675,wikipedia
142,A list of massacre victims,3732,3733,wikipedia
143,RFC on main flag used in the country data template,3738,3739,wikipedia
144,Inline link RfC,3765,3766,wikipedia
145,"RfC about including books in the ""Racial ideology"" section",3770,3771,wikipedia
146,RfC about exceptions to [[WP:INFOBOXPURPOSE]] and commanders/leaders in [[Template:Infobox military conflict]],3791,3792,wikipedia
147,Inline link RfC,3803,3804,wikipedia
148,RfC 24 July 2021: Inconsistent hyphenation,3808,3809,wikipedia
149,RfC on a graphical illustration of the Sarnath capital of Ashoka,3818,3819,wikipedia
150,Merger proposal,3997,3998,wikipedia
151,RfC about inclusion of [[Sayyid Mumtaz Ali]]'s opinion removed by an IP editor,4005,4006,wikipedia
152,"RfC about using the title ""Shahanshah""",4015,4016,wikipedia
153,RFC on usage of image2 parameter on infobox,4021,4022,wikipedia
154,RfC,4028,4029,wikipedia
155,RfC for Sexual Assault Investigations,4033,4034,wikipedia
156,Request for comment: Reliability of blog post by Israellycool as a source,4069,4070,wikipedia
157,RfC:Purpose New Section With Current White House Correspondents,4070,4071,wikipedia
158,RfC about description of Paul Stamets in the lede,4074,4075,wikipedia
159,"RfC on the focus of ""Mobile Launcher Platform""",4123,4124,wikipedia
160,RfC: Shall this article be deemed American English or British English only?,4128,4129,wikipedia
161,Proposal to change colour of nav bar,4169,4170,wikipedia
162,RfC: Should the caption for an image identify the subject by name?,4187,4188,wikipedia
163,RfC about the outdated audio justification,4257,4258,wikipedia
164,RfC,4261,4262,wikipedia
165,RfC: Should the infobox say that the glacier is disputed ?,4269,4270,wikipedia
166,RfC about three disputed paragraphs,4291,4292,wikipedia
167,RfC to tighten sourcing on [[Glenn Greenwald]],4340,4341,wikipedia
168,Infobox RfC,4347,4348,wikipedia
169,RfC on placement of family/personal life section,4354,4355,wikipedia
170,RfC on paragraphs related to McCarrick case,4366,4367,wikipedia
171,RFC: Intros of Elizabeth II's & Charles III's coronation pages,4376,4377,wikipedia
172,RfC Siemens Vickers Scandal revolving around Kongo,4394,4395,wikipedia
173,Proposed Edit,4401,4402,wikipedia
174,RfC on opening sentence,4432,4433,wikipedia
175,RfC on recent edits by Moist towelett,4451,4452,wikipedia
176,Request for comment 2017,4480,4481,wikipedia
177,"So, about the SH case..",4528,4529,wikipedia
178,RfC on countries classification,4559,4560,wikipedia
179,RfC: Pharma lobbyist,4565,4566,wikipedia
180,School of Thought album,4579,4580,wikipedia
181,Request for comment,4582,4583,wikipedia
182,RfC on the flag in the infobox,4626,4627,wikipedia
183,"Request for comment: on the notability of the CTMU in 2020 with sources published after 2006 and ""unredirect"" of this page to [[Christopher Langan]]",4642,4643,wikipedia
184,"Proposed merge of [[Monday Morning (newsletter)]] into [[National Institute of Technology, Rourkela]]",4678,4679,wikipedia
185,RfC: Multiple titles of the same name,4703,4704,wikipedia
186,RfC: Should the lede image be changed?,4707,4708,wikipedia
187,RfC: Splitting article?,4732,4733,wikipedia
188,RfC: Discussion of criticisms of RFA within the article and mentions of propaganda in lede,4743,4744,wikipedia
189,Study,4768,4769,wikipedia
190,RfC on image of a dead pigeon,4795,4796,wikipedia
191,Lead image for the article,4806,4807,wikipedia
192,RfC Split or Keep?,4814,4815,wikipedia
193,RfC about the map in the infobox of the Ghurid dynasty article,4824,4825,wikipedia
194,Request for comment,4842,4843,wikipedia
195,"RfC: ""Incendiary rhetoric"" in the lead",4849,4850,wikipedia
196,RfC on making an exception to MOS:FLAG for motorsports,4862,4863,wikipedia
197,RfC: Removing every image from horse slaughter article,4935,4936,wikipedia
198,RfC on podcast episode lists,4975,4976,wikipedia
199,RfC: On São Paulo content,4988,4989,wikipedia
200,"Should the name ""Istanbul"" be used for the Ottoman city instead of ""Constantinople""?",5028,5029,wikipedia
201,"RfC:Use of sources to establish a ""mountain dog"" type",5044,5045,wikipedia
202,= Rfc about [[Talk:Dan_Wagner#Edits_for_discussion| Edits for discussion]] =,5049,5050,wikipedia
203,RfC,5085,5086,wikipedia
204,"RfC for the article's title, part II",5097,5098,wikipedia
205,RfC on first sentence and scope,5135,5136,wikipedia
206,RfC,5186,5187,wikipedia
207,RFC: Which table should be used,5195,5196,wikipedia
208,Request for outside comments,5230,5231,wikipedia
209,"Remove ""suspected forced disappearance"" from the lead?",5249,5250,wikipedia
210,RfC: Slight tweak to the wording of the anonymous contributions and [[MediaWiki:Anontalkpagetext|talk page]] footers,5264,5265,wikipedia
211,Infobox redundancies,5273,5274,wikipedia
212,RfC about the history section,5288,5289,wikipedia
213,Request for Comment,5306,5307,wikipedia
214,RfC: Lede image,5316,5317,wikipedia
215,RfC: Filenames in non-Latin scripts,5351,5352,wikipedia
216,RfC Should this template be repurposed to match its name?,5358,5359,wikipedia
217,RFC: Should the citation notes in the article link to their corresponding citations in the bibliography,5413,5414,wikipedia
218,RfC about the use of Cohen's Serbia's Secret War,5437,5438,wikipedia
219,Mentioning the fact that Trump is a future US president,5481,5482,wikipedia
220,Marginalization of Christians (RfC),5488,5489,wikipedia
221,Merge,5511,5512,wikipedia
222,"""iPod Touch"" or ""iPod touch""?",5526,5527,wikipedia
223,Krivoy Rog,5527,5528,wikipedia
224,RfC about article 'anti-' Bias,5619,5620,wikipedia
225,Legitimacy of Mphoko as Vice-President,5626,5627,wikipedia
226,RfC: Can the lead mention anything about his 25 years as a commentator?,5633,5634,wikipedia
227,RfC about the names of relevant articles,5648,5649,wikipedia
228,RFC: Inclusion of the entire list,5658,5659,wikipedia
229,"""Criticism and controversy"" should be its own article",5667,5668,wikipedia
230,RfC: Eoin Ó Brion,5677,5678,wikipedia
231,RfC: Age format when the birth date or death date is unknown,5686,5687,wikipedia
232,RfC: Infobox image,5706,5707,wikipedia
233,Rfc: Second generation image,5714,5715,wikipedia
234,"RfC about the splitting of the article ""White Croats""",5719,5720,wikipedia
235,RfC: Proposed split,5763,5764,wikipedia
236,RfC: Proposal to fix a long term structural problem in Palestine Israel conflict articles,5769,5770,wikipedia
237,Request for comments on alphabetizing cast members,5785,5786,wikipedia
238,RfC on category inclusion/exclusion,5815,5816,wikipedia
239,RFC on Hungarian Romani,5874,5875,wikipedia
240,RfC about the examples of local names,5890,5891,wikipedia
241,Request for Comment,5907,5908,wikipedia
242,"RfC about wording for the ""big black cock"" link",5966,5967,wikipedia
243,Request for Comment: Addition to History Section,5982,5983,wikipedia
244,RfC on infobox image,5991,5992,wikipedia
245,"Should use ""the British monarch"" instead of ""His Britannic Majesty""",6015,6016,wikipedia
246,RfC: Is it relevant to include LGBT as a main theme?,6034,6035,wikipedia
247,Eclipse RfC,6071,6072,wikipedia
248,RFC on Regnal Number in Infobox,6087,6088,wikipedia
249,RfC: Birther views,6138,6139,wikipedia
250,RFC: redirect to XFDcloser?,6185,6186,wikipedia
251,External links,6193,6194,wikipedia
252,RFC: Lead image,6246,6247,wikipedia
253,RfC about the categorisation of this article,6278,6279,wikipedia
254,Merge into [[ocean]],6291,6292,wikipedia
255,RfC on chosen photo,6317,6318,wikipedia
256,RfC regarding Holocaust sidebar,6345,6346,wikipedia
257,RfC: Should this disambiguation page include an entry to [[Democratic Party (United States)]]?,6365,6366,wikipedia
258,RfC on [[Shemot Rabbah]],6381,6382,wikipedia
259,Request for comment about the status of the Public Broadcasting Service (PBS) as a TV network,6388,6389,wikipedia
260,Details of animal cruelty,6408,6409,wikipedia
261,"RFC for ""convicted felon"" phrase in opening sentence",6412,6413,wikipedia
262,Request for comment,6511,6512,wikipedia
263,Request for Comment - Father Martin's commentary on recent news items,6535,6536,wikipedia
264,Streaming radio network affiliation?,6551,6552,wikipedia
265,"RfC for ""Hiroshima of Caucasus""",6554,6555,wikipedia
266,RfC: Phrasing of the infamous sentence,6612,6613,wikipedia
267,Request for comment,6670,6671,wikipedia
268,Rfc on Accountability Software,6690,6691,wikipedia
269,RfC on Notability of Linda Haas,6736,6737,wikipedia
270,RFC on current events and past incidents being included as controversies.,6738,6739,wikipedia
271,RfC on including the list of recipients,6750,6751,wikipedia
272,RfC on lead,6755,6756,wikipedia
273,RFC: How should the UK and the other Commonwealth realms be presented?,6778,6779,wikipedia
274,"RfC: Comparing demonization of CO2 with ""Jews under Hitler""",6793,6794,wikipedia
275,RfC about replacing the current photo of the Mansfield police,6819,6820,wikipedia
276,RfC about replacing the current photo of the Mansfield police,6826,6827,wikipedia
277,RfC on the two incidents,6833,6834,wikipedia
278,RfC concerning polygamy,6863,6864,wikipedia
279,2022 revision proposal,6896,6897,wikipedia
280,Proposed merge of [[European Super League|The Super League]] into [[Proposals for a European Super League in association football]],6906,6907,wikipedia
281,Propose redirect to [[Race and crime in the United States]],6936,6937,wikipedia
282,RfC on Jimmy Wales' reserve powers over ArbCom,6958,6959,wikipedia
283,RfC about the list of debates,6992,6993,wikipedia
284,RfC for adding hatnotes to sections,7004,7005,wikipedia
285,Request for comment,7032,7033,wikipedia
286,RFC about placement of the year in the lead sentence,7034,7035,wikipedia
287,RfC on Bryce Loomis,7049,7050,wikipedia
288,RfC about the 'controversies' section,7058,7059,wikipedia
289,Request for Comment about [[sic]] usage,7065,7066,wikipedia
290,RfC on section links in the lead,7081,7082,wikipedia
291,RfC: Upgrade to essay at Wikipedia:Sum of all knowledge,7099,7100,wikipedia
292,RfC about the expansion of the article,7106,7107,wikipedia
293,Proposed merge of [[Yahoo! Korea]] into [[Yahoo!]],7119,7120,wikipedia
294,Lede with anti vaccine activist,7123,7124,wikipedia
295,Bio RfC about Singer-songwriter,7129,7130,wikipedia
296,RfC on place of death,7136,7137,wikipedia
297,!Vote about list format,7154,7155,wikipedia
298,RfC,7176,7177,wikipedia
299,RFC: Should an invocation at a county court be mentioned in the article?,7204,7205,wikipedia
300,RfC: Should misconduct be mentioned in the lead?,7223,7224,wikipedia
301,RFC: Periods in abbreviations for degrees,7249,7250,wikipedia
302,Lede rfc,7344,7345,wikipedia
303,Add facts about Oylmpic boycotts due to eating dogs and costs of games and low ticket sales (RfC),7381,7382,wikipedia
304,RfC on Caruso Controversy re Party on Yacht,7389,7390,wikipedia
305,RfC about the mention of the Cyprus crisis (1955–64) in this article,7399,7400,wikipedia
306,RfC: address of the church,7409,7410,wikipedia
307,Alicorn,7447,7448,wikipedia
308,RFC: Revisiting the birthplace infobox question,7458,7459,wikipedia
309,Reliable source?,7478,7479,wikipedia
310,Request for Comment Noah Oppenheim,7487,7488,wikipedia
311,Request for Comment: Academic historians,7571,7572,wikipedia
312,"Request for comments: Should this page have ever been moved from ""K. P. Yohannan"" ?",7612,7613,wikipedia
313,RfC regarding article titles of relocated professional sports teams in North America,7616,7617,wikipedia
314,"RFC about whether [[:Template:Nashville, Tennessee sports venues]] should be merged into this template",7666,7667,wikipedia
315,Request for comment,7668,7669,wikipedia
316,RFC:  Rolling Back to 6 September version,7783,7784,wikipedia
317,RfC about whether there should be an <del>infant</del> <ins>month-day</ins> and <del>super</del> <ins>year-day</ins> parameter,7797,7798,wikipedia
318,Discussion,7822,7823,wikipedia
319,RfC about including all persons titled Lord North in the disambiguation,7835,7836,wikipedia
320,Request for comments on adding [[Template:Historical]] to all Wikipedia as a press source YEAR pages,7844,7845,wikipedia
321,"American Football League related articles, should they be changed to AFL",7849,7850,wikipedia
322,"Proxy editing by [[WP:SLEEPER|sleepers]], [[WP:SOCKS|socks]] and [[WP:MEAT|meatpuppets]]",7884,7885,wikipedia
323,RfC #2 Israeli alleged role,7917,7918,wikipedia
324,RFC: Lede sentence,7947,7948,wikipedia
325,Request for Comment on the Creation of a page for Unbibium,7963,7964,wikipedia
326,"""Purported"" racism",7974,7975,wikipedia
327,RfC about Jordan Peterson controversy,8024,8025,wikipedia
328,RfC: Neo-fascism in the Infobox,8030,8031,wikipedia
329,[[WP:RFC|Request for Comment]]: Enhancing Pluralisation Section,8059,8060,wikipedia
330,Request for comment on list of sensor models,8066,8067,wikipedia
331,Merger Discussion,8103,8104,wikipedia
332,Proposed merge with [[The Ashokavadana Massacre]],8119,8120,wikipedia
333,"Koala bear ""inaccurate""",8133,8134,wikipedia
334,RfC about images,8229,8230,wikipedia
335,Refereeing nationality,8238,8239,wikipedia
336,RfC: Is Billboard magazine a reliable source?,8252,8253,wikipedia
337,RfC on the inclusion of Brian Regal's review of her book,8264,8265,wikipedia
338,RfC on the inclusion of Brian Regal's review of her book,8327,8328,wikipedia
339,RfC Unclear Presidency,8390,8391,wikipedia
340,"Request for comment 3 February 2020, ""partof"" - withdrawn",8412,8413,wikipedia
341,RFC about Königsberg's history as part of the Russian Empire in the Lede.,8432,8433,wikipedia
342,RfC: Glenn Beck promoted conspiracy theories,8445,8446,wikipedia
343,RFC about proposed guideline amendment,8480,8481,wikipedia
344,Inline link RfC,8505,8506,wikipedia
345,RfC: Description as conservative and anti-Muslim in the first line of the lede,8523,8524,wikipedia
346,RfC about infobox,8562,8563,wikipedia
347,RfC: Should the gallery be included?,8621,8622,wikipedia
348,Proposal for a newbie flag,8630,8631,wikipedia
349,RfC on Personal life,8658,8659,wikipedia
350,"RFC: Should the parameter ""influenced = "" be on this template?",8679,8680,wikipedia
351,Recent edits,8695,8696,wikipedia
352,Classification of Faith Healing,8878,8879,wikipedia
353,RfC: Should the results table include results from delayed elections,8895,8896,wikipedia
354,Request for Comment on subheading title wording,8915,8916,wikipedia
355,RfC on adding Limbaugh's controversial views and statements to the lead,8939,8940,wikipedia
356,Request for comments: aircraft image with swastika,8973,8974,wikipedia
357,Discussion,8984,8985,wikipedia
358,Infobox image RFC,9019,9020,wikipedia
359,"RFC: Las Vegas or Paradise, Nevada",9028,9029,wikipedia
360,RfC Congressmen's tenures in infobox,9089,9090,wikipedia
361,Propose simplifying inclusion criterion,9143,9144,wikipedia
362,RFC on call to action for missing heavily cited female scientists,9162,9163,wikipedia
363,RFC,9185,9186,wikipedia
364,RfC: Membership in Kokuchūkai and reference to it,9300,9301,wikipedia
365,Request for comment: songwriter in lead intro,9331,9332,wikipedia
366,Proposal to remove 'nonpartisan' from the info box,9353,9354,wikipedia
367,RFC: Adding Nazi Germany to Infobox,9377,9378,wikipedia
368,attack BLP,9416,9417,wikipedia
369,Common name people - removing (the) pulp?,9429,9430,wikipedia
370,Request for Comment,9484,9485,wikipedia
371,Request for comment - inclusion of article about Apparent use of Drowsing in Australia,9497,9498,wikipedia
372,RFC: Birthplace of Islam and Arabs,9513,9514,wikipedia
373,RfC about the inclusion of third party values in infobox,9523,9524,wikipedia
374,"RfC about the tables of colour values (RGB, HSV and Hexadecimal)",9568,9569,wikipedia
375,RfC - capitalization of The Weeknd's stage name,9665,9666,wikipedia
376,"RfC: Was the rejection of section ""Certification of the new particle as a Higgs boson"" justified?",9687,9688,wikipedia
377,RfC Proposal that the best way to present superlative based context specific lists is to use the article,9702,9703,wikipedia
378,RfC about the structure of the [[Billion]] article,9754,9755,wikipedia
379,An RfC,9769,9770,wikipedia
380,Proposal,9787,9788,wikipedia
381,"RfC about Deleted edits in January 5 and 6, 2018",9849,9850,wikipedia
382,Userpage drafts shown in search engines,9860,9861,wikipedia
383,"RfC about ""Conspiracy theories"" in lede",9884,9885,wikipedia
384,RfC: Religion infobox entries for individuals that have no religion,9909,9910,wikipedia
385,RfC on recent AAU campus climate survey,10241,10242,wikipedia
386,Rfc - What should be considered 'pimping',10259,10260,wikipedia
387,RfC about WP:NOTHERE,10267,10268,wikipedia
388,RfC: Should these two statements linking Jews and Bolsheviks appear in [[Blue Army (Poland)]]?,10455,10456,wikipedia
389,RfC,10537,10538,wikipedia
390,Request for comments,10540,10541,wikipedia
391,"RfC about the neutrality/balance of this article, and which type of English to use.?",10548,10549,wikipedia
392,Pronunciation in the lede,10564,10565,wikipedia
393,RfC: Is reference to views of Salah relevant to this section of the article?,10593,10594,wikipedia
394,Prefix suggestion: TP: for Template:,10602,10603,wikipedia
395,RfC: Studio Album Chronology,10619,10620,wikipedia
396,[[Wikipedia:Non-administrator Arbitrators RfC|Non-administrator Arbitrators RfC]],10630,10631,wikipedia
397,RfC county-level overall homicide section in article about state level firearms deaths,11020,11021,wikipedia
398,RfC Native American Ancestry Controversy section,11054,11055,wikipedia
399,RfC,11163,11164,wikipedia
400,RfC regarding infobox photo,11171,11172,wikipedia
401,Request for comment,11193,11194,wikipedia
402,RfC for removal of controversies related to predecessor companies,11204,11205,wikipedia
403,What should be the inclusion criteria for candidates in the infobox?,11211,11212,wikipedia
404,Infobox revert,11259,11260,wikipedia
405,Request for Comment,11283,11284,wikipedia
406,RFC on inclusion of [[Chris Sununu]] in [[List of minority governors and lieutenant governors in the United States]],11318,11319,wikipedia
407,Rosenberg resolution,11336,11337,wikipedia
408,Request for comment on the title of this article,11347,11348,wikipedia
409,Diva Dirt - Is It Reliable?,11393,11394,wikipedia
410,RfC: Responsibility for the war,11433,11434,wikipedia
411,RfC: Current title (again),11444,11445,wikipedia
412,RfC: format of boxing weight classes,11454,11455,wikipedia
413,RfC: How should the Transhumanist Party be described?,11485,11486,wikipedia
414,RfC about the neutrality of the abortion's lead,11530,11531,wikipedia
415,Past-tense RFC,11557,11558,wikipedia
416,Proposal to add a sentence about page moves,11561,11562,wikipedia
417,"RfC about ""Let's go Brandon""",11605,11606,wikipedia
418,RfC about naming higher-grossing films,11698,11699,wikipedia
419,RfC: What should be the topic of this article?,11708,11709,wikipedia
420,Jason's Song RFC,11753,11754,wikipedia
421,RfC: Disable Gather on enwiki,11792,11793,wikipedia
422,Should the article call Kosovo a state? RfC,11852,11853,wikipedia
423,Request for Comment: Disambiguation and inherently ambiguous titles,11866,11867,wikipedia
424,Succession to the Canadian throne.,11908,11909,wikipedia
425,RfC: Is MIT Professor and former UN weapons inspector's opinion on Higgins' weapons analysis admissible?,11992,11993,wikipedia
426,RfC: micronation promotional elements,12149,12150,wikipedia
427,Bert Kreischer,12179,12180,wikipedia
428,RFc for major restructuring,12193,12194,wikipedia
429,Can we identify Paul Singer as a Donors Trust account holder?,12197,12198,wikipedia
430,Merger proposal,12297,12298,wikipedia
431,RFC: Should these aspects of the Henry Neville authorship theory be included in the article,12302,12303,wikipedia
432,RfC: Inclusion of Palestine as a sub state of Israel,12326,12327,wikipedia
433,RfC: Lead - transparency,12690,12691,wikipedia
434,RfC on statement by article subject and its source,12728,12729,wikipedia
435,Rfc about the result section in the infobox,12759,12760,wikipedia
436,RfC: Place of birth in Infobox,12769,12770,wikipedia
437,"Should this article include both distinct uses of the term ""smartbond""?",12982,12983,wikipedia
438,RfC: Editinterface rights for template editors,12989,12990,wikipedia
439,RFC on weighting sexual assault research,13004,13005,wikipedia
440,Proposal for election of coordinators for the project,13062,13063,wikipedia
441,RfC: make this page a guideline,13083,13084,wikipedia
442,RfC: Should information on the John Miller incident be included in the article?,13093,13094,wikipedia
443,Request for comment on state-equivalents,13138,13139,wikipedia
444,Waiting period for images tagged with OTRS received,13160,13161,wikipedia
445,RfC on Dicks out for Harambe,13175,13176,wikipedia
446,RfC on far-right in first sentence/lead,13193,13194,wikipedia
447,New RfC on the mask image,13213,13214,wikipedia
448,RfC on redefining the scope of Pegasus (spyware) and Project Pegasus (investigation) articles,13230,13231,wikipedia
